time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,3,2,1,1
2026-06-01 00:00:00+00:00,17,7,0,0
2026-06-02 00:00:00+00:00,10,6,0,0
2026-06-03 00:00:00+00:00,31,12,0,0
2026-06-04 00:00:00+00:00,16,6,0,0
2026-06-05 00:00:00+00:00,27,9,0,0
2026-06-06 00:00:00+00:00,12,5,0,0
2026-06-07 00:00:00+00:00,18,8,0,0
2026-06-08 00:00:00+00:00,10,5,0,0
2026-06-09 00:00:00+00:00,22,8,0,0
2026-06-10 00:00:00+00:00,4,3,0,0
2026-06-11 00:00:00+00:00,11,6,2,2
2026-06-12 00:00:00+00:00,27,13,0,0
2026-06-13 00:00:00+00:00,22,6,0,0
